Zoning Case: C14-2017-0067
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 91
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 5.00s]  I'm sorry, 91.
[3579.24s -> 3581.24s]  that addresses this issue.
[3581.24s -> 3585.24s]  It would certainly hate for us to go through that whole process and then find ourselves
[3585.24s -> 3589.24s]  in a similar situation over and over again.
[3589.24s -> 3593.24s]  Council Member Anderson, but keep in mind it's kind of a two-edged sword because on the one hand
[3593.24s -> 3595.24s]  we're talking about not having to go through this again.
[3595.24s -> 3598.24s]  I've also heard some concerns about the self-storage use period.
[3598.24s -> 3603.24s]  So that going through this again means making it easier to do self-storage which contradicts
[3603.24s -> 3605.24s]  some of what I heard tonight also.
[3605.24s -> 3606.24s]  Fair enough.
[3606.24s -> 3608.24s]  I look forward to learning more.
