Zoning Case: C14-2013-0136
Meeting Date: 2014-04-17T00:00:00.000
Agenda Item: 71
Source URL: http://austintx.swagit.com/play/45620/0/
================================================================================

[0.00s -> 7.56s]  And I'll call back to order the meeting of the Austin City Council and I believe
[3966.56s -> 3971.20s]  This project fits within the concept of Terrytown more importantly
[3971.72s -> 3975.44s]  It's something that I and my wife might be able to use in the future
[3976.36s -> 3978.36s]  More importantly my parents
[3978.36s -> 3982.72s]  Who currently live four blocks from me and I live the corner of Stevenson and Pecus?
[3983.64s -> 3985.64s]  This is an option for them
[3986.60s -> 3988.60s]  There's not another option for them
[3988.88s -> 3990.88s]  They're going to stay in their house
[3991.76s -> 3993.20s]  Until they die
[3993.20s -> 3995.20s]  Or they're going to move a long way from my family
[3995.80s -> 3997.80s]  That's not acceptable to me
[3998.24s -> 4000.84s]  This option to me is one that makes sense
[4001.44s -> 4007.24s]  The other part of this I think that makes complete sense is despite the fact that Austin
[4007.64s -> 4009.64s]  Terrytown was set up with big yards
[4010.20s -> 4015.56s]  There are few properties that have 75 foot foot set back these days. They're not that many of them
[4016.64s -> 4018.72s]  And the concept that this is a looming
[4019.80s -> 4022.72s]  Overburdening project to me is nonsensical
[4023.24s -> 4026.84s]  All you have to do is go about three homes north
[4027.56s -> 4035.04s]  The corner southwest corner of that of exposition and 35th 35th that project is looming
[4036.20s -> 4038.20s]  It is huge
[4039.84s -> 4041.84s]  New house sitting there that's been built
[4042.44s -> 4044.88s]  It is a looming project. How close is it?
[4045.64s -> 4049.76s]  It's probably 25 35 feet from the corner from both corners
[4050.72s -> 4053.44s]  This project is 75 feet back away
[4054.12s -> 4056.12s]  The neighbors that talk about
[4056.68s -> 4061.32s]  Most of whom are good friends of mine who I grew up with who are against this project
[4061.76s -> 4065.64s]  Are generally against it because they live close to it and they're worried about it
[4066.68s -> 4072.32s]  There's a term for that and it's called nimby and essentially if the council cannot
[4072.32s -> 4079.20s]  Approve this what you're saying to the city of Austin is that Terrytown
[4080.36s -> 4082.84s]  Cannot be part of imagine Austin
[4083.64s -> 4085.64s]  That we're going to exempt
[4085.96s -> 4087.96s]  Terrytown from
[4088.60s -> 4090.60s]  What we envision Austin should be
[4091.88s -> 4093.88s]  My wife and I would like this option
[4094.64s -> 4097.80s]  I'm probably a few years away from wanting to move out of my current house
[4098.44s -> 4103.48s]  But it's an option that would be available to me and more importantly. It's an option for my parents
[4103.48s -> 4108.40s]  I would ask that you support this project. Thank you. They could always move in with you
[4111.08s -> 4113.08s]  Sir, do you know my father?
[4115.32s -> 4120.24s]  I will go to those stand up in opposition first is Joyce by Siano
